"variant_id","priority","family","regime","variant_name","change_from_full","adapted_object","requires_hidden_test_labels","compute_match_group","primary_question"
"TRN-009","P0","offline_training","F|D|E","No replay","Accept graph changes without a replay-regression test","same_as_full","no","C-TRAIN","Does replay prevent catastrophic graph regressions?"
"TRN-010","P1","offline_training","F|D|E","No rollback or promotion governance","Allow accepted edits without inverse diffs, transfer gates, or rollback metadata","same_as_full","no","C-TRAIN","Does governance improve stability and auditability?"
"TRN-011","P1","offline_training","F|D|E","No autonomous strategy discovery","Permit only strategies inferred from expert artifacts or explicit failures","same_as_full","no","C-TRAIN","Does autonomous proposal improve beyond imitation?"
"TRN-012","P2","offline_training","F|D|E","Autonomous-only discovery","Remove expert-inferred structural proposals and learn from self-proposed strategies plus feedback","same_as_full","no","C-TRAIN","How far can DIRS learn without expert trace induction?"
"TRN-013","P1","offline_training","F|D|E","Online sequential graph updates","Update the persistent graph after each training case instead of after a batch pass","same_as_full","no","C-TRAIN","What is the accuracy versus order-bias trade-off?"
"TRN-014","P2","offline_training","F|D|E","Unrestricted joint graph edits","Allow multiple unrelated edit families in one outer-loop proposal","same_as_full","no","C-TRAIN","Does attributable one-family editing improve causal diagnosis?"
"TRN-015","P0","offline_training","F|D|E","Time-ordered leave-one-paper-out supervision","Train topic adaptation on earlier permitted papers and predict masked structure of a later pre-cutoff paper","topic_encoder|adapter","no; pre-cutoff targets only","C-TRAIN","Does chronological self-supervision prepare DIRS for unseen topics without future leakage?"
"TRN-016","P0","offline_training","F|D|E","Masked Chip-field and edge supervision","Train reconstruction or ranking of masked Method, Gap, Evaluation, Result, footprint, and typed-edge fields","topic_encoder|adapter","no; pre-cutoff targets only","C-TRAIN","Does structured Chip masking teach useful topic relations?"
"TRN-017","P0","offline_training","F|D|E","Evidence support-refute-near-miss supervision","Train calibrated classification of supporting, refuting, near-miss, insufficient, and already-solved evidence","validator|topic_encoder","no; verified pre-cutoff labels only","C-TRAIN","Does evidence-relation supervision reduce false research gaps?"
"TRN-018","P1","offline_training","F|D|E","Strict consistency supervision only","Train from chronology, entity aliases, identity, provenance, typing, ports, and graph invariants without semantic pseudo-labels","topic_encoder|validator","no","C-TRAIN","How much adaptation can be learned from strictly checkable consistency?"
"TTA-001","P0","test_time_adaptation","F|D|E","No task-local adaptation","Freeze posterior, gates, budget policy, recurrent state initializer, and local graph for the whole test task","none","no","C-MAS","Does task-local learning improve over static DIRS?"
"TTA-002","P0","test_time_adaptation","F|D|E","Terminal Q update only","Update empirical terminal path values but no structural or posterior state","terminal_Q","no","C-ADAPT","Is online value estimation sufficient?"
"TTA-003","P0","test_time_adaptation","F|D|E","Path-posterior adaptation","Update only the posterior over legal complete paths","path_posterior","no","C-ADAPT","Is path-level Bayesian adaptation the main useful object?"
"TTA-004","P1","test_time_adaptation","F|D|E","Node-posterior adaptation","Update only task-local node relevance and utility","node_posterior","no","C-ADAPT","Is node-level adaptation sufficient?"
"TTA-005","P1","test_time_adaptation","F|D|E","Edge-posterior adaptation","Update only task-local edge and transition probabilities","edge_posterior","no","C-ADAPT","Does adapting dependencies outperform adapting nodes?"
"TTA-006","P0","test_time_adaptation","F|D|E","Context-gate adaptation","Update only task-local context and applicability gates","context_gates","no","C-ADAPT","Can gating capture most test-time distribution shift?"
"TTA-007","P1","test_time_adaptation","F|D|E","Budget-policy adaptation","Update only node, branch, depth, and stopping budgets","budget_policy","no","C-ADAPT","Can resource adaptation improve utility without changing knowledge?"
"TTA-008","P0","test_time_adaptation","F|D|E","Local structural graph patches","Allow temporary typed node/edge/gate patches that are discarded after the task","local_graph","no","C-ADAPT","Do task-specific structural hypotheses add value beyond reweighting?"
"TTA-009","P0","test_time_adaptation","F|D|E","Latent task-vector optimization","Optimize a continuous task latent while the model and persistent graph remain frozen","task_latent","no; support or feedback only","C-ADAPT","How does latent-program adaptation compare with graph adaptation?"
"TTA-010","P1","test_time_adaptation","D|E","Prompt or prefix tuning","Optimize task-local soft prompts or prefix parameters","prefix_parameters","no; support or feedback only","C-ADAPT","Is a continuous prompt adapter competitive with structured adaptation?"
"TTA-011","P0","test_time_adaptation","D|E","LoRA test-time training","Update a task-local LoRA using demonstrations or executable feedback","lora_parameters","no; support or feedback only","C-ADAPT","When does weight TTT beat graph-posterior adaptation?"
"TTA-012","P2","test_time_adaptation","D|E","Full-parameter test-time training","Update all permitted model parameters under a matched adaptation budget","model_parameters","no; support or feedback only","C-ADAPT","Does full TTT justify its cost and overfitting risk?"
"TTA-013","P1","test_time_adaptation","F|D|E","Router-only adaptation","Update only the task-local search-policy and agent-routing controller","router","no","C-ADAPT","Is controller adaptation sufficient without changing skill beliefs?"
"TTA-014","P1","test_time_adaptation","F|D|E","Verifier-calibration adaptation","Update only task-local verifier calibration with independent observable checks","verifier_calibration","no","C-ADAPT","Does correcting the feedback model improve downstream adaptation?"
"TTA-015","P0","test_time_adaptation","F|D|E","Recurrent-state adaptation only","Carry and update execution state but freeze all graph and policy beliefs","recurrent_state","no","C-ADAPT","How much gain comes from fast state rather than learning the graph posterior?"
"TTA-016","P0","test_time_adaptation","F|D|E","Posterior plus latent adaptation","Jointly update legal-path posterior and continuous task latent","path_posterior|task_latent","no; support or feedback only","C-ADAPT","Are symbolic and continuous task adaptation complementary?"
"TTA-017","P1","test_time_adaptation","D|E","Posterior plus LoRA adaptation","Jointly update legal-path posterior and task-local LoRA","path_posterior|lora_parameters","no; support or feedback only","C-ADAPT","Does structured routing stabilize weight TTT?"
"TTA-018","P2","test_time_adaptation","D|E","Graph plus latent plus LoRA adaptation","Combine local graph patches, latent optimization, and task-local LoRA","local_graph|task_latent|lora_parameters","no; support or feedback only","C-ADAPT","Does maximal multi-object adaptation help after matching compute and supervision?"
"TTA-019","P0","test_time_adaptation","F|D|E","Hindsight failure-to-repair editor","Apply a meta-trained policy mapping typed failures and state to search, edit, reject, or stop actions","repair_policy","no","C-ADAPT","Does learning repair actions from past traces outperform generic critique?"
"TTA-020","P0","test_time_adaptation","F|D|E","Topic latent plus recurrent repair","Adapt a low-dimensional topic latent and iteratively update separate candidate-gap and topic-belief states","topic_latent|recurrent_state","no; pre-cutoff feedback only","C-ADAPT","Does recurrent belief repair improve over topic encoding alone?"
"TTA-021","P0","test_time_adaptation","F|D|E","Topic latent plus recurrent repair plus hindsight editor","Add failure-conditioned meta-learned edit actions to topic latent and recurrent repair","topic_latent|recurrent_state|repair_policy","no; pre-cutoff feedback only","C-ADAPT","Does reusable hindsight editing improve cross-topic adaptation?"
"TTA-022","P1","test_time_adaptation","D|E","Adaptation ladder plus temporary LoRA","Add a resettable bounded LoRA after topic latent, recurrent repair, and hindsight editing","topic_latent|recurrent_state|repair_policy|lora_parameters","no; support or executable feedback only","C-ADAPT","Does temporary weight adaptation add value after stronger non-weight adaptation?"
"TTA-023","P0","test_time_adaptation","F|D|E","Adaptation ladder plus dynamic sparse router","Add budget-aware selection of retrieval, proposal, counterevidence, verification, repair, and stop operations","topic_latent|recurrent_state|repair_policy|router","no","C-MAS","Does dynamic routing improve marginal utility per compute after the core adaptation ladder?"
"SEA-001","P1","search","F|D|E","Exhaustive legal-path evaluation","Enumerate and execute every valid terminal path when feasible","none","no","C-EXEC","What is the finite-path oracle and search regret?"
"SEA-002","P0","search","F|D|E","Even allocation","Allocate equal terminal executions to every legal path","terminal_Q","no","C-SEARCH","Is sophisticated allocation better than a strong uniform baseline?"
"SEA-003","P1","search","F|D|E","Successive Rejects","Use fixed-budget best-arm elimination over legal complete paths","terminal_Q","no","C-SEARCH","Does pure-exploration best-arm search beat MCTS?"
"SEA-004","P0","search","F|D|E","Sequential Halving","Repeatedly halve legal paths under a fixed execution budget","terminal_Q","no","C-SEARCH","Is Sequential Halving the best finite-path controller?"
"SEA-005","P0","search","F|D|E","Top-Two Thompson sampling","Use posterior best-arm sampling over legal complete paths","path_posterior","no","C-SEARCH","Does posterior exploration improve best-path identification?"
"SEA-006","P1","search","F|D|E","UCT","Use mean-backup UCT with no learned policy prior","terminal_Q","no","C-SEARCH","Does basic tree search exploit useful prefix structure?"
"SEA-007","P1","search","F|D|E","PUCT with empirical-frequency prior","Use training trace frequency as the PUCT prior","terminal_Q|path_prior","no","C-SEARCH","Does the empirical prior help or lock search to common paths?"
"SEA-008","P0","search","F|D|E","PUCT with contextual prior","Use a learned context-conditioned PUCT prior","terminal_Q|path_prior","no","C-SEARCH","Does contextualization improve tree-search efficiency?"
"SEA-009","P1","search","F|D|E","Posterior root sampling","Sample graph/value hypotheses at the root before constrained search","graph_posterior|value_posterior","no","C-SEARCH","Does epistemic root sampling improve uncertainty handling?"
"SEA-010","P0","search","F|D|E","Protected branch coverage","Reserve minimum budget for major uncertain branches before elimination","terminal_Q|coverage_state","no","C-SEARCH","Does protected coverage recover deceptive low-mean branches?"
"SEA-011","P0","search","F|D|E","Mean backup","Back up average rollout utility below every prefix","terminal_Q","no","C-SEARCH","Does the conventional MCTS objective match best-path selection?"
"SEA-012","P1","search","F|D|E","Raw maximum backup","Back up the maximum observed descendant reward","terminal_Q","no","C-SEARCH","How severe is winner's-curse bias under stochastic execution?"
"SEA-013","P1","search","F|D|E","Top-quantile backup","Back up a fixed high quantile of descendant utility","value_posterior","no","C-SEARCH","Is a robust tail objective better than mean or raw maximum?"
"SEA-014","P0","search","F|D|E","Best-descendant posterior backup","Back up calibrated probability or credible utility of the best feasible descendant","value_posterior","no","C-SEARCH","Does a best-path-aligned posterior improve recommendation?"
"SEA-015","P0","search","F|D|E","Fixed MCTS without policy router","Always use one validated MCTS configuration regardless of path-space properties","same_as_full","no","C-SEARCH","Does dynamic choice among greedy, bandit, posterior sampling, and MCTS matter?"
"STA-001","P0","state_communication","F|D|E","No recurrent state","Reset all execution state after each selected skill node","none","no","C-MAS","Does state carryover improve multi-step execution?"
"STA-002","P0","state_communication","F|D|E","Text scratchpad state","Represent all recurrent state as explicit natural-language text","text_state","no","C-MAS","Is text state sufficient?"
"STA-003","P1","state_communication","F|D|E","Continuous latent-vector state","Use a compact continuous task/execution vector without KV transfer","latent_state","no","C-MAS","Does a continuous state outperform text?"
"STA-004","P1","state_communication","D|E","Layer-wise KV-cache state","Carry layer-wise KV caches between compatible processing units","kv_state","no","C-MAS","Does high-bandwidth KV state improve quality at acceptable memory cost?"
"STA-005","P0","state_communication","F|D|E","Typed graph state","Carry only explicit entities, bindings, failures, and node outputs in a shared state graph","graph_state","no","C-MAS","Is structured low-bandwidth state sufficient?"
"STA-006","P0","state_communication","F|D|E","Parallel plan only","Use parallel proposals and fusion with no sequential recurrent state plane","plan_state","no","C-MAS","Is the plan plane alone responsible for gains?"
"STA-007","P0","state_communication","F|D|E","Sequential state only","Use one sequential recurrent execution path with no parallel plan proposals","recurrent_state","no","C-MAS","Is the state plane alone responsible for gains?"
"STA-008","P1","state_communication","F|D|E","Average parallel plans","Fuse parallel plan states by arithmetic averaging","plan_state","no","C-MAS","Does naive averaging destroy complementary plans?"
"STA-009","P1","state_communication","F|D|E","Attention plan fusion","Fuse parallel plans with learned attention","plan_state","no","C-MAS","Is learned feature fusion better than averaging?"
"STA-010","P0","state_communication","F|D|E","Candidate-selection fusion","Keep plans separate and select or compose discrete candidates","plan_state","no","C-MAS","Is selection safer than latent blending?"
"STA-011","P0","state_communication","F|D|E","Text inter-agent communication","Agents exchange complete or summarized natural-language messages","text_state","no","C-MAS","How does text communication compare under matched total bytes and FLOPs?"
"STA-012","P0","state_communication","D|E","Latent or KV inter-agent communication","Agents exchange hidden states or KV caches with the same transfer budget","latent_state|kv_state","no","C-MAS","Does latent communication improve efficiency or only move cost to memory?"
"VER-001","P0","verifier_repair","F|D|E","No verifier","Select and execute without post-execution validity or quality checks","none","no","C-MAS","Is explicit verification necessary?"
"VER-002","P0","verifier_repair","F|D|E","Scalar verifier only","Return one utility number with no typed failure report","same_as_full","no","C-MAS","Do structured errors enable better repair than a scalar reward?"
"VER-003","P1","verifier_repair","F|D|E","Deterministic hard checks only","Use provenance, type, connectivity, budget, test, or executor checks with no learned quality judge","same_as_full","no","C-MAS","How much reliability comes from objective checks alone?"
"VER-004","P0","verifier_repair","F|D|E","Generator self-judge","Use the same model and context family for generation and evaluation","same_as_full","no","C-MAS","How severe is correlated self-evaluation bias?"
"VER-005","P1","verifier_repair","F|D|E","Independent learned verifier only","Use an independent evaluator but remove deterministic hard checks","same_as_full","no","C-MAS","Can a learned judge replace hard constraints?"
"VER-006","P0","verifier_repair","F|D|E","Hybrid hard plus independent verifier","Use deterministic hard gates plus an independent structured evaluator","same_as_full","no","C-MAS","Does hybrid verification dominate either verifier alone?"
"VER-007","P1","verifier_repair","F|D|E","Terminal-only verification","Verify only complete artifacts or action traces","same_as_full","no","C-MAS","Are prefix checks worth their cost?"
"VER-008","P1","verifier_repair","F|D|E","Multi-evaluator reward posterior","Estimate reward uncertainty from several independent evaluator samples","reward_posterior","no","C-MAS","Does evaluator uncertainty improve robust selection?"
"VER-009","P0","verifier_repair","F|D|E","Generic repair prompt","Replace typed failure-conditioned repair with one undifferentiated critique-and-revise step","same_as_full","no","C-MAS","Do typed repair actions improve attribution and success?"
"VER-010","P0","verifier_repair","F","No hard factual-support gate","Treat unsupported evidence as a soft penalty rather than a terminal failure","same_as_full","no","C-MAS","Is hard evidence grounding necessary to prevent fluent hallucinations?"
"MS-001","P0","memory_scheduler","F|D|E","No episodic memory","Use only the persistent skill graph and current task state","same_as_full","no","C-MAS","Does episodic trace memory improve adaptation?"
"MS-002","P1","memory_scheduler","F|D|E","Flat similarity retrieval","Retrieve whole prior examples or traces by embedding similarity","same_as_full","no","C-MAS","Does structured memory improve over nearest-neighbor retrieval?"
"MS-003","P0","memory_scheduler","F|D|E","Successful traces only","Store and retrieve only high-reward completed paths","same_as_full","no","C-MAS","Are failed traces useful or harmful?"
"MS-004","P1","memory_scheduler","F|D|E","Successful and failed traces","Store both outcomes but retrieve without ranking or diversification","same_as_full","no","C-MAS","Does contrastive outcome memory help?"
"MS-005","P0","memory_scheduler","F|D|E","Ranked diversified trace memory","Retrieve top, bottom, and failure-contrast traces with provenance","same_as_full","no","C-MAS","Does ranked diversified memory prevent path homogenization?"
"MS-006","P0","memory_scheduler","F|D|E","All agents always active","Disable sparse routing and execute every available processing unit","same_as_full","no","C-MAS","Does dynamic activation improve the quality-cost frontier?"
"MS-007","P1","memory_scheduler","F|D|E","Uncertainty-only routing","Route according to task and posterior uncertainty without explicit cost","router","no","C-MAS","Is uncertainty enough to allocate computation?"
"MS-008","P1","memory_scheduler","F|D|E","Information-gain routing","Select the action with greatest predicted posterior reduction","router","no","C-MAS","Does marginal information gain improve sample efficiency?"
"MS-009","P0","memory_scheduler","F|D|E","Cost-aware sparse routing","Optimize task utility against token, latency, communication, and active-agent costs","router|budget_policy","no","C-MAS","Does explicit cost modeling improve deployment efficiency?"
"MS-010","P0","memory_scheduler","F|D|E","Learned dynamic depth, breadth, and stop","Jointly learn which skills or agents to call, how long to continue, and when to commit","router|budget_policy","no","C-MAS","Does joint dynamic scheduling beat fixed topology and thresholds?"
"ROB-001","P1","robustness","F|D|E","Cross-domain transfer","Evaluate a frozen trained system on held-out semantic domains","same_as_full","no","C-STRESS","Does the reusable graph and adapter transfer beyond seen domains?"
"ROB-002","P1","robustness","F|D|E","Sparse evidence","Remove a preregistered fraction of legitimate source evidence","same_as_full","no","C-STRESS","Does DIRS abstain or degrade gracefully when evidence is insufficient?"
"ROB-003","P1","robustness","F|D|E","Noisy or conflicting evidence","Inject provenance-labelled contradictions or measurement noise","same_as_full","no","C-STRESS","Can evidence and verifier uncertainty prevent overconfident output?"
"ROB-004","P2","robustness","F","Missing chip fields","Delete selected Method, Gap, Evaluation, Result, or footprint fields","same_as_full","no","C-STRESS","Which standardized chip inputs are necessary for DIRS?"
"ROB-005","P1","robustness","F|D|E","Adversarial irrelevant skills","Add plausible but inapplicable nodes and macros to the candidate graph","same_as_full","no","C-STRESS","Do context gates and rejection rules resist distractors?"
"ROB-006","P0","robustness","F|D|E","Noisy verifier","Apply calibrated corruption to verifier labels or scalar utilities","same_as_full","no","C-STRESS","How robust is test-time adaptation to feedback errors?"
"ROB-007","P1","robustness","F|D|E","Budget and latency shift","Change available compute or per-action costs after training","router|budget_policy","no","C-STRESS","Can the scheduler adapt under deployment constraints?"
"ROB-008","P0","robustness","F|D|E","Unscoped task-state carryover","Carry posterior, gates, recurrent state, and local patches into unrelated tasks","task_local_state","no","C-STRESS","Does strict reset and scoping prevent negative transfer and contamination?"
"ROB-009","P0","robustness","F","Complete topic holdout plus temporal cutoff","Train on complete topics, adapt only to pre-cutoff papers in an unseen topic, freeze gaps, then reveal later literature","same_as_full","no","C-STRESS","Can DIRS anticipate bounded research gaps without topic or future leakage?"
"ROB-010","P0","robustness","F","Random within-topic paper split inflation control","Randomly split papers from the same topic while otherwise matching the temporal experiment; report only as a diagnostic","same_as_full","no","C-STRESS","How much does a random paper split inflate apparent generalization?"
"ROB-011","P1","robustness","F|D|E","Terminology and alias shift","Perturb surface names while preserving canonical entities, paper identity, and graph relations","topic_latent|graph_state","no","C-STRESS","Does topic adaptation learn relations rather than memorize terminology?"
